t 1 2 3 4 jK0200 jL1 jL2
0 0 0 0 0 0 0 0
0.00598398 0.000178096 1.78096e-05 0.124845 0.125333 -0.00059757 -0.0059757 2.3286e-06
0.011968 0.00106011 0.000106011 0.245775 0.24869 -0.0023712 -0.023712 1.85182e-05
0.0179519 0.0033164 0.00033164 0.35897 0.368124 -0.00526414 -0.0526414 7.57411e-05
0.0239359 0.00755122 0.000755122 0.460793 0.481753 -0.0091833 -0.091833 0.000217835
0.0299199 0.0142724 0.00142724 0.547878 0.587785 -0.0140015 -0.140015 0.000503179
0.0359039 0.0238639 0.00238639 0.617214 0.684547 -0.0195608 -0.195608 0.00100181
0.0418879 0.0365628 0.00365628 0.666213 0.770513 -0.0256759 -0.256759 0.00179189
0.0478718 0.0524405 0.00524405 0.692782 0.844328 -0.032139 -0.32139 0.00295561
0.0538558 0.0713899 0.00713899 0.695372 0.904827 -0.0387251 -0.387251 0.00457469
0.0598398 0.0931183 0.00931183 0.673021 0.951056 -0.0451971 -0.451971 0.00672564
0.0658238 0.117147 0.0117147 0.625386 0.982287 -0.0513121 -0.513121 0.00947485
0.0718078 0.142815 0.0142815 0.552755 0.998027 -0.0568277 -0.568277 0.0128739
0.0777918 0.169296 0.0169296 0.456053 0.998027 -0.0615076 -0.615076 0.0169547
0.0837757 0.195613 0.0195613 0.336828 0.982287 -0.0651286 -0.651286 0.0217259
0.0897597 0.220662 0.0220662 0.197227 0.951057 -0.0674859 -0.674859 0.0271687
0.0957437 0.243246 0.0243246 0.0399537 0.904828 -0.0683993 -0.683993 0.0332343
0.101728 0.262108 0.0262108 -0.131778 0.844329 -0.0677178 -0.677178 0.0398418
0.107712 0.275968 0.0275968 -0.314313 0.770514 -0.0653247 -0.653247 0.0468771
0.113696 0.283566 0.0283566 -0.503626 0.684548 -0.0611412 -0.611412 0.054193
0.11968 0.283706 0.0283706 -0.695402 0.587787 -0.0551296 -0.551296 0.0616101
0.125664 0.275297 0.0275297 -0.885135 0.481755 -0.0472957 -0.472957 0.068919
0.131648 0.2574 0.02574 -1.06821 0.368126 -0.0376897 -0.376897 0.075884
0.137632 0.229265 0.0229265 -1.24003 0.248692 -0.0264067 -0.264067 0.0822472
0.143616 0.190372 0.0190372 -1.39606 0.125335 -0.0135864 -0.135864 0.0877339
0.1496 0.140467 0.0140467 -1.53202 2e-06 0.000589259 0.00589259 0.0920597
0.155584 0.0795849 0.00795849 -1.64388 -0.125331 0.0158982 0.158982 0.0949368
0.161567 0.00807627 0.000807627 -1.72803 -0.248688 0.0320821 0.320821 0.096083
0.167551 -0.0733792 -0.00733792 -1.78132 -0.368122 0.0488507 0.488507 0.0952292
0.173535 -0.163766 -0.0163766 -1.80119 -0.481752 0.0658874 0.658874 0.0921285
0.179519 -0.261734 -0.0261734 -1.78567 -0.587783 0.0828546 0.828546 0.0865651
0.185503 -0.365611 -0.0365611 -1.7335 -0.684545 0.0994012 0.994012 0.0783625
0.191487 -0.47342 -0.047342 -1.64412 -0.770512 0.115169 1.15169 0.0673922
0.197471 -0.58291 -0.058291 -1.51775 -0.844326 0.1298 1.298 0.0535807
0.203455 -0.691591 -0.0691591 -1.35537 -0.904826 0.142944 1.42944 0.0369166
0.209439 -0.796784 -0.0796784 -1.15872 -0.951056 0.154266 1.54266 0.0174561
0.215423 -0.895671 -0.0895671 -0.930311 -0.982287 0.163457 1.63457 -0.00467273
0.221407 -0.985356 -0.0985356 -0.673363 -0.998027 0.170233 1.70233 -0.0292672
0.227391 -1.06293 -0.106293 -0.391773 -0.998027 0.174352 1.74352 -0.0560485
0.233375 -1.12554 -0.112554 -0.0900484 -0.982288 0.175611 1.75611 -0.0846627
0.239359 -1.17045 -0.117045 0.226763 -0.951057 0.173857 1.73857 -0.114683
0.245343 -1.19515 -0.119515 0.553163 -0.904828 0.168991 1.68991 -0.145613
0.251327 -1.19738 -0.119738 0.883301 -0.84433 0.160969 1.60969 -0.176896
0.257311 -1.17523 -0.117523 1.21108 -0.770515 0.149807 1.49807 -0.207917
0.263295 -1.12719 -0.112719 1.53026 -0.68455 0.135582 1.35582 -0.238022
0.269279 -1.05224 -0.105224 1.8346 -0.587788 0.11843 1.1843 -0.266518
0.275263 -0.949841 -0.0949841 2.11794 -0.481757 0.0985501 0.985501 -0.292695
0.281247 -0.820054 -0.0820054 2.37437 -0.368128 0.0761973 0.761973 -0.315836
0.287231 -0.663516 -0.0663516 2.59831 -0.248694 0.051682 0.51682 -0.335234
0.293215 -0.481485 -0.0481485 2.78463 -0.125337 0.0253647 0.253647 -0.350205
0.299199 -0.275847 -0.0275847 2.92877 -4e-06 -0.00234886 -0.0234886 -0.360107
0.305183 -0.049106 -0.0049106 3.02684 0.125329 -0.031015 -0.31015 -0.364356
0.311167 0.19563 0.019563 3.07569 0.248686 -0.0601587 -0.601587 -0.36244
0.317151 0.454682 0.0454682 3.073 0.368121 -0.0892823 -0.892823 -0.353937
0.323135 0.723847 0.0723847 3.01734 0.48175 -0.117874 -1.17874 -0.338528
0.329119 0.99846 0.099846 2.90822 0.587782 -0.145416 -1.45416 -0.316009
0.335103 1.27346 0.127346 2.74608 0.684544 -0.171397 -1.71397 -0.286303
0.341087 1.54348 0.154348 2.53238 0.77051 -0.195317 -1.95317 -0.249472
0.347071 1.80295 0.180295 2.2695 0.844325 -0.216702 -2.16702 -0.205717
0.353055 2.04618 0.204618 1.96078 0.904825 -0.235111 -2.35111 -0.15539
0.359039 2.26747 0.226747 1.61047 0.951055 -0.250142 -2.50142 -0.0989887
0.365023 2.46128 0.246128 1.22363 0.982286 -0.261446 -2.61446 -0.0371603
0.371007 2.62225 0.262225 0.806123 0.998026 -0.268729 -2.68729 0.0293069
0.376991 2.74543 0.274543 0.36444 0.998027 -0.271763 -2.71763 0.0994894
0.382975 2.82631 0.282631 -0.0943387 0.982288 -0.270389 -2.70389 0.17234
0.388959 2.86098 0.286098 -0.56269 0.951058 -0.264521 -2.64521 0.246701
0.394943 2.84622 0.284622 -1.03277 0.904829 -0.254151 -2.54151 0.321323
0.400927 2.77958 0.277958 -1.49655 0.844331 -0.239349 -2.39349 0.39488
0.406911 2.65953 0.265953 -1.94596 0.770517 -0.220266 -2.20266 0.465997
0.412895 2.48543 0.248543 -2.37301 0.684551 -0.197127 -1.97127 0.533267
0.418879 2.25768 0.225768 -2.76998 0.58779 -0.170236 -1.70236 0.595283
0.424863 1.97771 0.197771 -3.1295 0.481759 -0.139967 -1.39967 0.650661
0.430847 1.64799 0.164799 -3.44475 0.36813 -0.106759 -1.06759 0.698067
0.436831 1.27207 0.127207 -3.70954 0.248696 -0.0711119 -0.711119 0.736247
0.442815 0.854501 0.0854501 -3.91845 0.125339 -0.0335773 -0.335773 0.764052
0.448799 0.400858 0.0400858 -4.06693 6e-06 0.00525116 0.0525116 0.780465
0.454783 -0.0823756 -0.00823756 -4.1514 -0.125327 0.0447463 0.447463 0.78463
0.460767 -0.587873 -0.0587873 -4.16934 -0.248684 0.0842584 0.842584 0.775866
0.466751 -1.10757 -0.110757 -4.1193 -0.368119 0.123126 1.23126 0.753698
0.472734 -1.63277 -0.163277 -4.001 -0.481748 0.160688 1.60688 0.717868
0.478718 -2.15434 -0.215434 -3.81531 -0.58778 0.196293 1.96293 0.668352
0.484702 -2.66277 -0.266277 -3.56428 -0.684542 0.229314 2.29314 0.605368
0.490686 -3.14844 -0.314844 -3.25107 -0.770509 0.259159 2.59159 0.529386
0.49667 -3.60171 -0.360171 -2.87998 -0.844324 0.285278 2.85278 0.441128
0.502654 -4.01316 -0.401316 -2.45633 -0.904824 0.307178 3.07178 0.341564
0.508638 -4.37372 -0.437372 -1.98642 -0.951054 0.324431 3.24431 0.231905
0.514622 -4.67489 -0.467489 -1.4774 -0.982286 0.336682 3.36682 0.113595
0.520606 -4.90893 -0.490893 -0.937176 -0.998026 0.343653 3.43653 -0.0117137
0.52659 -5.06898 -0.506898 -0.374293 -0.998027 0.345154 3.45154 -0.142175
0.532574 -5.14925 -0.514925 0.202233 -0.982289 0.341086 3.41086 -0.275778
0.538558 -5.14517 -0.514517 0.783044 -0.951059 0.331441 3.31441 -0.410378
0.544542 -5.05351 -0.505351 1.3586 -0.90483 0.316307 3.16307 -0.543725
0.550526 -4.87248 -0.487248 1.91936 -0.844332 0.295863 2.95863 -0.673508
0.55651 -4.60181 -0.460181 2.4559 -0.770518 0.270382 2.70382 -0.797384
0.562494 -4.24283 -0.424283 2.95913 -0.684553 0.240225 2.40225 -0.913028
0.568478 -3.79848 -0.379848 3.42041 -0.587791 0.205836 2.05836 -1.01817
0.574462 -3.27331 -0.327331 3.83171 -0.48176 0.167733 1.67733 -1.11063
0.580446 -2.67348 -0.267348 4.18579 -0.368132 0.126505 1.26505 -1.18839
0.58643 -2.00667 -0.200667 4.47626 -0.248697 0.0827976 0.827976 -1.24958
0.592414 -1.282 -0.1282 4.69776 -0.125341 0.0373055 0.373055 -1.29258
0.598398 -0.509906 -0.0509906 4.84603 -8e-06 -0.00924023 -0.0924023 -1.31601
0.604382 0.297964 0.0297964 4.91798 0.125325 -0.0560838 -0.560838 -1.31878
0.610366 1.12897 0.112897 4.91178 0.248682 -0.102458 -1.02458 -1.30012
0.61635 1.96966 0.196966 4.82688 0.368117 -0.147595 -1.47595 -1.25961
0.622334 2.80595 0.280595 4.66402 0.481746 -0.190744 -1.90744 -1.19717
0.628318 3.62342 0.362342 4.42526 0.587778 -0.231178 -2.31178 -1.1131
0.634302 4.4075 0.44075 4.11393 0.684541 -0.268212 -2.68212 -1.0081
0.640286 5.14374 0.514374 3.73457 0.770508 -0.301212 -3.01212 -0.883215
0.64627 5.81812 0.581812 3.29289 0.844323 -0.329606 -3.29606 -0.739889
0.652254 6.4172 0.64172 2.79566 0.904823 -0.352896 -3.52896 -0.579912
0.658238 6.9285 0.69285 2.25061 0.951054 -0.370664 -3.70664 -0.405417
