t 1 2 3 4 5 6 7 jK0406 jL0406
0 1.88757e-11 0 -6.66133e-23 180 180 180 -2.68221e-17 9.34355e-25 -1.48933e-05
1e-07 0.702177 1 -4.9943e-12 179.941 180 176.978 -0.296261 0.592521 1.47328e-05
2e-07 0.73827 2 -1.00024e-11 179.749 180 164.241 -1.55076 2.50885 0.000199435
3e-07 0.752701 3 -2.01477e-11 179.553 180 129.594 -4.99585 4.46358 0.000854096
4e-07 0.761833 4 -3.01452e-11 179.356 180 75.0289 -10.4327 6.41998 0.00239695
5e-07 0.768522 5 -4.01417e-11 179.158 180 0.907886 -17.825 8.36841 0.00522272
6e-07 -34.7572 6 -5.01372e-11 180.082 180 -35.4672 -21.5549 -0.90675 0.0091607
7e-07 -77.0603 7 -6.01318e-11 180.168 180 -77.7885 -25.7957 -1.82016 0.0138958
8e-07 -60.2299 8 -7.01253e-11 180.136 180 -60.9528 -24.1089 -1.55346 0.0188862
9e-07 -45.8334 9 -8.01178e-11 180.11 180 -46.5508 -22.666 -1.3323 0.0235637
1e-06 -33.4562 10 -9.01094e-11 180.087 180 -34.1678 -21.4255 -1.14885 0.0279729
1.1e-06 -22.8478 10 -1.001e-10 180.066 180 -23.5525 -20.3618 -0.978473 0.0321516
1.2e-06 -13.7955 10 -1.10089e-10 180.048 180 -14.4921 -19.454 -0.837242 0.0361332
1.3e-06 -6.03409 10 -1.20078e-10 180.032 180 -6.72078 -18.6753 -0.720143 0.0399461
1.4e-06 0.602842 10 -1.30066e-10 180.018 180 -0.0704823 -18.0088 -0.612828 0.0436145
1.5e-06 0.720228 10 -1.40052e-10 179.895 180 0.0489124 -17.9846 0.57464 0.0472139
1.6e-06 0.696844 10 -1.50038e-10 179.97 180 0.0244118 -17.9946 -0.210541 0.0508118
1.7e-06 0.713181 10 -1.60022e-10 179.926 180 0.0414145 -17.9884 0.199813 0.0544101
1.8e-06 0.701261 10 -1.70006e-10 179.961 180 0.0289692 -17.9932 -0.188964 0.0580082
1.9e-06 0.714509 10 -1.79988e-10 179.921 180 0.0428179 -17.9878 0.178599 0.0616063
2e-06 0.704934 10 -1.8997e-10 179.952 180 0.0327785 -17.9919 -0.169527 0.0652043
2.1e-06 0.715839 10 -1.9995e-10 179.915 180 0.0442277 -17.9871 0.160238 0.0688022
2.2e-06 0.708055 10 -2.0993e-10 179.943 180 0.0360326 -17.9907 -0.152526 0.0724
2.3e-06 0.717154 10 -2.19908e-10 179.91 180 0.0456261 -17.9864 0.144167 0.0759977
2.4e-06 0.71077 10 -2.29886e-10 179.934 180 0.038877 -17.9895 -0.137537 0.0795953
2.5e-06 0.718445 10 -2.39862e-10 179.904 180 0.0470029 -17.9857 0.129988 0.0831928
2.6e-06 0.713174 10 -2.49838e-10 179.926 180 0.0414071 -17.9884 -0.124249 0.0867902
2.7e-06 0.719706 10 -2.59813e-10 179.898 180 0.0483519 -17.985 0.117408 0.0903875
2.8e-06 0.715331 10 -2.69786e-10 179.917 180 0.0436882 -17.9874 -0.112417 0.0939848
2.9e-06 0.720933 10 -2.79759e-10 179.892 180 0.0496696 -17.9842 0.106199 0.0975819
3e-06 0.717287 10 -2.8973e-10 179.909 180 0.0457674 -17.9863 -0.101846 0.101179
3.1e-06 0.722125 10 -2.99701e-10 179.886 180 0.0509541 -17.9835 0.0961777 0.104776
3.2e-06 0.719078 10 -3.0967e-10 179.901 180 0.0476798 -17.9853 -0.0923739 0.108373
3.3e-06 0.723281 10 -3.19639e-10 179.879 180 0.0522046 -17.9827 0.087193 0.11197
3.4e-06 0.72073 10 -3.29607e-10 179.893 180 0.049452 -17.9843 -0.0838678 0.115566
3.5e-06 0.724401 10 -3.39573e-10 179.873 180 0.0534212 -17.982 0.0791194 0.119163
3.6e-06 0.722264 10 -3.49539e-10 179.885 180 0.0511048 -17.9834 -0.0762136 0.12276
3.7e-06 0.725487 10 -3.59503e-10 179.866 180 0.0546044 -17.9812 0.0718504 0.126356
3.8e-06 0.723696 10 -3.69467e-10 179.877 180 0.0526547 -17.9824 -0.0693143 0.129952
