t 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
0 0 1.1111e-15 0 -0 7.18781e-16 1.22465e-14 2.65229e-15 0 0 1.71738e-15 1.31792e-15 0 0 1.30626e-15 1.39697e-15
0.001 2.90733 2.91543 3.4763 6.27905 3.1441 -6.27905 -0.669454 2.80274 3.39369 3.06479 2.46548 2.88533 3.37168 3.06478 2.54477
0.002 6.06367 5.98225 6.60621 12.5333 6.26649 -12.5333 -0.679413 5.927 6.49715 6.16162 5.58716 6.03594 6.4693 6.16136 5.69169
0.003 9.27234 9.0075 9.62402 18.7381 9.32589 -18.7381 -0.529516 9.11392 9.49592 9.20382 8.88239 9.24182 9.4652 9.20348 9.00404
0.004 12.2535 12.1022 12.773 24.869 12.4351 -24.869 -0.676757 12.0956 12.645 12.3117 11.7567 12.2234 12.6145 12.3112 11.8796
0.005 15.3109 15.1815 15.7593 30.9017 15.5331 -30.9017 -0.481321 15.1419 15.6217 15.4008 14.8866 15.2791 15.5895 15.4002 15.0183
0.006 18.2462 18.0282 18.738 36.8125 18.3921 -36.8125 -0.675604 18.0738 18.5972 18.2551 17.7439 18.2141 18.5644 18.2543 17.8802
0.007 21.1591 20.8943 21.5967 42.5779 21.27 -42.5779 -0.656261 20.9805 21.4502 21.1277 20.6507 21.1261 21.4164 21.1267 20.792
0.008 23.9382 23.7164 24.4179 48.1754 24.1013 -48.1754 -0.631458 23.7565 24.2684 23.9555 23.4414 23.9049 24.2341 23.9542 23.586
0.009 26.6692 26.3806 27.0975 53.5827 26.7741 -53.5827 -0.650995 26.4839 26.9445 26.6245 26.1562 26.6356 26.9096 26.623 26.3042
0.01 29.247 29.0003 29.7174 58.7785 29.4007 -58.7785 -0.631345 29.0595 29.5621 29.2486 28.7447 29.2133 29.5268 29.2469 28.8951
0.011 31.7553 31.4482 32.175 63.7424 31.855 -63.7424 -0.644928 31.5655 32.0172 31.7002 31.2404 31.7215 31.9814 31.6982 31.3931
0.012 34.0907 33.8247 34.5531 68.4547 34.2371 -68.4547 -0.629553 33.8994 34.3934 34.0802 33.5857 34.0569 34.3574 34.0778 33.7402
0.013 36.3382 36.0153 36.7489 72.8969 36.4328 -72.8969 -0.637806 36.1455 36.5874 36.2739 35.8235 36.3044 36.551 36.2711 35.9797
0.014 38.3936 38.1119 38.8484 77.0513 38.534 -77.0513 -0.626162 38.2 38.6855 38.3733 37.8881 38.36 38.6489 38.3702 38.0456
0.015 40.3462 40.0091 40.7466 80.9017 40.4353 -80.9017 -0.629135 40.1518 40.5823 40.273 39.8338 40.3127 40.5455 40.2695 39.9926
0.016 42.0885 41.7936 42.5354 84.4328 42.2235 -84.4328 -0.621021 41.8936 42.37 42.0598 41.5844 42.0553 42.333 42.0559 41.7442
0.017 43.7171 43.366 44.1047 87.6307 43.7992 -87.6307 -0.618113 43.5218 43.9383 43.6341 43.209 43.6841 43.9011 43.6298 43.3698
0.018 45.1178 44.8111 45.5557 90.4827 45.2475 -90.4827 -0.613706 44.9224 45.3884 45.0812 44.6168 45.0851 45.3511 45.0764 44.7783
0.019 46.3989 46.0322 46.769 92.9776 46.4712 -92.9776 -0.603183 46.2035 46.601 46.3038 45.898 46.3665 46.5635 46.2985 46.0602
0.02 47.4342 47.1165 47.861 95.1057 47.5581 -95.1057 -0.60329 47.2392 47.6923 47.3897 46.9386 47.4023 47.6548 47.384 47.1013
0.021 48.3521 47.9642 48.695 96.8583 48.4076 -96.8583 -0.580417 48.1573 48.5258 48.2383 47.8641 48.3205 48.4882 48.2321 48.0272
0.022 49.003 48.6733 49.4134 98.2287 49.1189 -98.2287 -0.587556 48.8088 49.2438 48.9488 48.5156 48.9719 49.2062 48.9421 48.679
0.023 49.5536 49.1233 49.8444 99.2115 49.5681 -99.2115 -0.532385 49.36 49.6746 49.3973 49.1039 49.5229 49.6369 49.3901 49.2675
0.024 49.8049 49.4559 50.183 99.8027 49.9044 -99.8027 -0.559098 49.6121 50.013 49.7329 49.3316 49.7746 49.9753 49.7253 49.4953
0.025 50.0038 49.64 50.1801 100 49.9206 -100 -0.325981 49.8119 50.0099 49.7488 49.7453 49.9741 49.9722 49.7408 49.9089
0.026 49.9317 49.5815 50.0533 99.8027 49.808 -99.8027 -0.298449 49.7409 49.8832 49.6359 49.6876 49.9025 49.8454 49.6277 49.851
0.027 49.8639 49.8922 49.4963 99.2115 49.3562 -99.2115 0.153166 49.7062 49.3598 49.3236 49.9993 49.8351 49.3542 49.4548 50.1622
0.028 49.5185 50.1012 48.7747 98.2287 48.7565 -98.2287 0.746391 49.4445 48.8913 49.1066 50.209 49.4902 48.9684 49.6206 50.3714
0.029 48.9167 50.3606 47.8536 96.8583 47.9407 -96.8583 1.56168 48.9947 48.4196 48.8455 50.4692 48.8889 48.6477 49.9141 50.631
0.03 48.4108 50.7282 46.6839 95.1057 46.8796 -95.1057 2.62222 48.4113 47.8328 48.476 50.8376 48.3835 47.9823 50.2363 50.9989
0.031 47.6982 51.1454 45.2615 92.9776 45.6061 -92.9776 3.89524 47.7052 47.1159 48.057 51.2556 47.6713 47.2711 50.6717 51.4164
0.032 46.8579 51.6537 43.5966 90.4827 44.1035 -90.4827 5.39734 46.8747 46.2811 47.5467 51.7649 46.8315 46.4452 51.1537 51.9252
0.033 45.9017 52.218 41.6926 87.6307 42.3943 -87.6307 7.10597 45.9261 45.3252 46.9804 52.3301 45.8759 45.4959 51.7303 52.4899
0.034 44.8299 52.8636 39.5595 84.4328 40.4715 -84.4328 9.02825 44.8609 44.2569 46.3327 52.9768 44.8045 44.4333 52.3576 53.1361
0.035 43.6486 53.5646 37.2035 80.9017 38.3544 -80.9017 11.1449 43.6854 43.076 45.6295 53.6789 43.6237 43.2572 53.0684 53.8376
0.036 42.3605 54.3389 34.6356 77.0513 36.0409 -77.0513 13.4578 42.4025 41.7906 44.8529 54.4544 42.336 41.9761 53.8288 54.6126
0.037 40.9722 55.165 31.8645 72.8969 33.5495 -72.8969 15.9487 41.0187 40.4027 44.0245 55.2817 40.9481 40.5921 54.6633 55.4394
0.038 39.4876 56.0564 28.9023 68.4547 30.8815 -68.4547 18.6161 39.5384 38.9205 43.1307 56.1744 39.4639 39.1133 55.5438 56.3314
