t 1 2 3 4 jxF0004 jxH0402
0 7.61905 10 10 7.61905 5.2381 -0.238095
0.02 7.61905 10 10 7.61905 5.2381 -0.238095
0.04 7.61905 10 10 7.61905 5.2381 -0.238095
0.06 7.61905 10 10 7.61905 5.2381 -0.238095
0.08 7.61905 10 10 7.61905 5.2381 -0.238095
0.1 7.61905 10 10 7.61905 5.2381 -0.238095
0.12 7.61905 10 10 7.61905 5.2381 -0.238095
0.14 7.61905 10 10 7.61905 5.2381 -0.238095
0.16 7.61905 10 10 7.61905 5.2381 -0.238095
0.18 7.61905 10 10 7.61905 5.2381 -0.238095
0.2 7.61905 10 10 7.61905 5.2381 -0.238095
0.22 7.61905 10 10 7.61905 5.2381 -0.238095
0.24 7.61905 10 10 7.61905 5.2381 -0.238095
0.26 7.61905 10 10 7.61905 5.2381 -0.238095
0.28 7.61905 10 10 7.61905 5.2381 -0.238095
0.3 7.61905 10 10 7.61905 5.2381 -0.238095
0.32 7.61905 10 10 7.61905 5.2381 -0.238095
0.34 7.61905 10 10 7.61905 5.2381 -0.238095
0.36 7.61905 10 10 7.61905 5.2381 -0.238095
0.38 7.61905 10 10 7.61905 5.2381 -0.238095
0.4 7.61905 10 10 7.61905 5.2381 -0.238095
0.42 7.61905 10 10 7.61905 5.2381 -0.238095
0.44 7.61905 10 10 7.61905 5.2381 -0.238095
0.46 7.61905 10 10 7.61905 5.2381 -0.238095
0.48 7.61905 10 10 7.61905 5.2381 -0.238095
0.5 7.61905 10 10 7.61905 5.2381 -0.238095
0.52 7.5514 9.91122 9.91122 7.5514 5.19159 -0.235981
0.54 7.4263 9.74702 9.74702 7.4263 5.10558 -0.232072
0.56 7.24685 9.51149 9.51149 7.24685 4.98221 -0.226464
0.58 7.01694 9.20973 9.20973 7.01694 4.82414 -0.219279
0.6 6.74118 8.8478 8.8478 6.74118 4.63456 -0.210662
0.62 6.42483 8.43258 8.43258 6.42483 4.41707 -0.200776
0.64 6.07364 7.97165 7.97165 6.07364 4.17563 -0.189801
0.66 5.69383 7.47315 7.47315 5.69383 3.91451 -0.177932
0.68 5.29194 6.94566 6.94566 5.29194 3.63821 -0.165373
0.7 4.87471 6.39805 6.39805 4.87471 3.35136 -0.152335
0.72 4.449 5.83931 5.83931 4.449 3.05869 -0.139031
0.74 4.02168 5.27845 5.27845 4.02168 2.7649 -0.125677
0.76 3.59948 4.72432 4.72432 3.59948 2.47464 -0.112484
0.78 3.18895 4.18549 4.18549 3.18895 2.1924 -0.0996546
0.8 2.79629 3.67013 3.67013 2.79629 1.92245 -0.0873841
0.82 2.42733 3.18587 3.18587 2.42733 1.66879 -0.0758541
0.84 2.0874 2.73971 2.73971 2.0874 1.43509 -0.0652312
0.86 1.78125 2.33789 2.33789 1.78125 1.22461 -0.0556641
0.88 1.51304 1.98586 1.98586 1.51304 1.04021 -0.0472825
0.9 1.28622 1.68816 1.68816 1.28622 0.884277 -0.0401944
0.92 1.10354 1.4484 1.4484 1.10354 0.758685 -0.0344857
0.94 0.966997 1.26918 1.26918 0.966997 0.664811 -0.0302187
0.96 0.877821 1.15214 1.15214 0.877821 0.603502 -0.0274319
0.98 0.836476 1.09787 1.09787 0.836476 0.575077 -0.0261399
1 0.842664 1.106 1.106 0.842664 0.579331 -0.0263332
1.02 0.895346 1.17514 1.17514 0.895346 0.61555 -0.0279796
1.04 0.992775 1.30302 1.30302 0.992775 0.682533 -0.0310242
1.06 1.13253 1.48645 1.48645 1.13253 0.778617 -0.0353917
1.08 1.31159 1.72146 1.72146 1.31159 0.901716 -0.0409871
1.1 1.52634 2.00333 2.00333 1.52634 1.04936 -0.0476983
1.12 1.77272 2.3267 2.3267 1.77272 1.21875 -0.0553976
1.14 2.04623 2.68568 2.68568 2.04623 1.40678 -0.0639447
1.16 2.34202 3.07391 3.07391 2.34202 1.61014 -0.0731883
1.18 2.65502 3.48471 3.48471 2.65502 1.82533 -0.0829694
1.2 2.97996 3.9112 3.9112 2.97996 2.04872 -0.0931237
1.22 3.3115 4.34634 4.34634 3.3115 2.27666 -0.103484
1.24 3.6443 4.78314 4.78314 3.6443 2.50546 -0.113884
1.26 3.9731 5.2147 5.2147 3.9731 2.73151 -0.12416
1.28 4.29283 5.63434 5.63434 4.29283 2.95132 -0.134151
1.3 4.59863 6.0357 6.0357 4.59863 3.16156 -0.143707
1.32 4.88598 6.41284 6.41284 4.88598 3.35911 -0.152687
1.34 5.15072 6.76032 6.76032 5.15072 3.54112 -0.16096
1.36 5.38914 7.07325 7.07325 5.38914 3.70504 -0.168411
1.38 5.59803 7.34741 7.34741 5.59803 3.84864 -0.174938
1.4 5.77467 7.57926 7.57926 5.77467 3.97009 -0.180459
1.42 5.91695 7.76599 7.76599 5.91695 4.0679 -0.184905
1.44 6.02329 7.90556 7.90556 6.02329 4.14101 -0.188228
1.46 6.09274 7.99672 7.99672 6.09274 4.18876 -0.190398
1.48 6.12494 8.03898 8.03898 6.12494 4.21089 -0.191404
1.5 6.12012 8.03265 8.03265 6.12012 4.20758 -0.191254
1.52 6.07909 7.9788 7.9788 6.07909 4.17937 -0.189971
1.54 6.00321 7.87921 7.87921 6.00321 4.12721 -0.1876
1.56 5.89437 7.73636 7.73636 5.89437 4.05238 -0.184199
1.58 5.75492 7.55333 7.55333 5.75492 3.95651 -0.179841
1.6 5.58767 7.33381 7.33381 5.58767 3.84152 -0.174615
1.62 5.39578 7.08197 7.08197 5.39578 3.7096 -0.168618
1.64 5.18278 6.8024 6.8024 5.18278 3.56316 -0.161962
1.66 4.95241 6.50004 6.50004 4.95241 3.40478 -0.154763
1.68 4.70865 6.18011 6.18011 4.70865 3.2372 -0.147145
1.7 4.45559 5.84796 5.84796 4.45559 3.06322 -0.139237
1.72 4.19739 5.50907 5.50907 4.19739 2.8857 -0.131168
1.74 3.9382 5.16889 5.16889 3.9382 2.70751 -0.123069
1.76 3.68213 4.83279 4.83279 3.68213 2.53146 -0.115066
1.78 3.43312 4.50598 4.50598 3.43312 2.36027 -0.107285
1.8 3.19497 4.19339 4.19339 3.19497 2.19654 -0.0998427
1.82 2.97118 3.89968 3.89968 2.97118 2.04269 -0.0928495
1.84 2.765 3.62906 3.62906 2.765 1.90094 -0.0864063
1.86 2.57932 3.38535 3.38535 2.57932 1.77328 -0.0806036
1.88 2.41664 3.17183 3.17183 2.41664 1.66144 -0.0755199
