t 1 2 3 4 5 jL0100 jL0201 jL0302 jL0403 jV0500
0 0 0 0 0 0 0 0 0 0 0
0.04 0.997807 0.00227947 6.02806e-06 1.32326e-08 1 0.38785 -0.386208 -0.000579547 -6.61631e-07 -0.774058
0.08 0.989066 0.0113429 5.40175e-05 1.71392e-07 1 1.16015 -1.15172 -0.00403687 -7.24634e-06 -2.31187
0.12 0.971699 0.0292534 0.000244572 1.11531e-06 1 1.9223 -1.89663 -0.0143096 -3.99497e-05 -3.81894
0.16 0.945938 0.055583 0.000763138 4.91699e-06 1 2.66769 -2.60765 -0.0356793 -0.000150134 -5.27535
0.2 0.912123 0.0897019 0.00187874 1.6687e-05 1 3.38993 -3.27211 -0.0720419 -0.000438364 -6.66204
0.24 0.8707 0.130793 0.00393328 4.68681e-05 1 4.08291 -3.87821 -0.126769 -0.00107069 -7.96112
0.28 0.822212 0.177869 0.00732788 0.000114116 1 4.74095 -4.41522 -0.202582 -0.00229171 -9.15617
0.32 0.767289 0.229797 0.0125064 0.000248622 1 5.35879 -4.8737 -0.301448 -0.00443359 -10.2325
0.36 0.706642 0.285322 0.0199372 0.000495704 1 5.93171 -5.24567 -0.424492 -0.00792051 -11.1774
0.4 0.641043 0.343096 0.0300925 0.000919476 1 6.45556 -5.5247 -0.571935 -0.0132681 -11.9803
0.44 0.571322 0.401709 0.0434282 0.00160639 1 6.92681 -5.70609 -0.743059 -0.0210775 -12.6329
0.48 0.498345 0.459718 0.0603617 0.00266842 1 7.34259 -5.78687 -0.936197 -0.0320242 -13.1295
0.52 0.423006 0.515683 0.0812515 0.00424573 1 7.70072 -5.7659 -1.14875 -0.0468411 -13.4666
0.56 0.346211 0.568195 0.106377 0.0065085 1 7.99972 -5.64383 -1.37722 -0.0662973 -13.6436
0.6 0.268863 0.615912 0.13592 0.00965787 1 8.2388 -5.42308 -1.61731 -0.0911716 -13.6619
0.64 0.191849 0.657582 0.169949 0.0139258 1 8.41788 -5.10777 -1.86397 -0.122223 -13.5256
0.68 0.116027 0.692078 0.208407 0.0195734 1 8.53755 -4.70362 -2.11158 -0.160157 -13.2412
0.72 0.0422121 0.718417 0.251099 0.0268883 1 8.59906 -4.21781 -2.35401 -0.205592 -12.8169
0.76 -0.0288319 0.735782 0.29769 0.0361806 1 8.60426 -3.65886 -2.58481 -0.259021 -12.2631
0.8 -0.0964061 0.743544 0.347699 0.0477766 1 8.55558 -3.03638 -2.7974 -0.320779 -11.592
0.84 -0.159884 0.741266 0.400502 0.0620123 1 8.45596 -2.36093 -2.98518 -0.391004 -10.8169
0.88 -0.218717 0.728722 0.455341 0.0792246 1 8.3088 -1.64378 -3.14174 -0.469611 -9.95258
0.92 -0.272445 0.705892 0.511332 0.0997419 1 8.11788 -0.896691 -3.26102 -0.556258 -9.01457
0.96 -0.320696 0.672966 0.56748 0.123874 1 7.88732 -0.131668 -3.33751 -0.65033 -8.01899
1 -0.36319 0.630339 0.622697 0.151899 1 7.6215 0.639249 -3.36635 -0.750914 -6.98225
1.04 -0.399741 0.578598 0.675827 0.184053 1 7.32494 1.40422 -3.34351 -0.856797 -5.92072
1.08 -0.430252 0.518509 0.725666 0.220518 1 7.00232 2.15182 -3.26592 -0.966459 -4.8505
1.12 -0.45472 0.451001 0.770994 0.261409 1 6.65833 2.87126 -3.13154 -1.07808 -3.78708
