t 1 2 3 4 5 6 7 8 9 10 11
0 -0.878441 -10 -0.100005 0 -0.200003 -0.0912211 0 -0.182434 -0.900003 10 10
1.256e-05 5.01011 -10 298913 1 262.09 15.6429 1 5.7698 -123.855 10 10
2.512e-05 9.95473 -10 290562 1 501.632 20.2542 1 10.7319 3.27327 10 10
3.768e-05 9.97243 -10 277989 1 -5154.88 19.8751 1 10.7539 -5399.34 10 10
5.024e-05 9.6715 -10 276370 1 481.288 19.2286 1 10.4384 5.41964 10 10
6.28e-05 9.97097 -10 267433 1 463.657 19.1895 1 10.7507 4.35833 10 10
7.536e-05 9.96388 -10 255071 1 -5538.37 18.8003 1 10.7406 -5763.09 10 10
8.792e-05 9.89554 -10 254375 1 443.845 18.4115 1 10.6629 5.78626 10 10
0.00010048 9.96266 -10 246150 1 427.611 18.1659 1 10.7379 4.80663 10 10
0.00011304 9.892 -10 234772 1 -5096.72 17.7898 1 10.658 -5303.62 10 10
0.0001256 9.96075 -10 234131 1 409.377 17.5612 1 10.7343 6.12093 10 10
0.00013816 9.88877 -10 226560 1 394.435 17.1988 1 10.6535 5.21926 10 10
0.00015072 9.95858 -10 216088 1 -4690.25 16.9858 1 10.7304 -4880.73 10 10
0.00016328 9.88588 -10 215498 1 377.652 16.6368 1 10.6493 6.42896 10 10
0.00017584 9.95616 -10 208530 1 363.899 16.4382 1 10.7263 5.59906 10 10
0.0001884 9.88328 -10 198891 1 -4316.12 16.1026 1 10.6455 -4491.51 10 10
0.00020096 9.95344 -10 198348 1 348.452 15.9171 1 10.7219 6.71248 10 10
0.00021352 9.88088 -10 191934 1 335.793 15.5947 1 10.6419 5.94862 10 10
0.00022608 9.95041 -10 183062 1 -3971.76 15.4211 1 10.7172 -4133.25 10 10
0.00023864 9.87858 -10 182563 1 321.575 15.1117 1 10.6384 6.97343 10 10
0.0002512 9.94702 -10 176659 1 309.924 14.949 1 10.7121 6.27037 10 10
0.00026376 9.87625 -10 168494 1 -3654.82 14.6523 1 10.635 -3803.52 10 10
0.00027632 9.94322 -10 168034 1 296.838 14.4995 1 10.7066 7.21362 10 10
0.00028888 9.87378 -10 162600 1 286.114 14.2153 1 10.6314 6.56651 10 10
0.00030144 9.93896 -10 155084 1 -3363.09 14.0715 1 10.7007 -3500.02 10 10
0.000314 9.87103 -10 154661 1 274.069 13.7994 1 10.6276 7.43469 10 10
0.00032656 9.93413 -10 149660 1 264.199 13.6638 1 10.6943 6.83908 10 10
0.00033912 9.86786 -10 142742 1 -3094.59 13.4035 1 10.6234 -3220.68 10 10
0.00035168 9.92862 -10 142353 1 253.113 13.2753 1 10.6872 7.63817 10 10
0.00036424 9.86411 -10 137750 1 244.028 13.0264 1 10.6186 7.08996 10 10
0.0003768 9.92226 -10 131383 1 -2847.45 12.9049 1 10.6793 -2963.57 10 10
0.00038936 9.85953 -10 131024 1 233.824 12.6669 1 10.613 7.82545 10 10
0.00040192 9.91475 -10 126787 1 225.462 12.5514 1 10.6702 7.32088 10 10
0.00041448 9.85378 -10 120927 1 -2619.98 12.3238 1 10.6063 -2726.92 10 10
0.00042704 9.90569 -10 120597 1 216.07 12.2135 1 10.6597 7.99782 10 10
0.0004396 9.84632 -10 116697 1 208.374 11.9958 1 10.5978 7.53341 10 10
0.00045216 9.89433 -10 111303 1 -2410.62 11.8896 1 10.6468 -2509.1 10 10
0.00046472 9.83606 -10 111000 1 199.73 11.681 1 10.5865 8.15648 10 10
0.00047728 9.8792 -10 107411 1 192.646 11.5776 1 10.6303 7.72903 10 10
0.00048984 9.82065 -10 102446 1 -2217.92 11.3763 1 10.5701 -2308.62 10 10
0.0005024 9.85669 -10 102166 1 184.689 11.2733 1 10.6064 8.30251 10 10
0.00051496 9.79311 -10 98862.7 1 178.17 11.0743 1 10.5416 7.90908 10 10
0.00052752 9.81336 -10 94293 1 -2040.55 10.9627 1 10.5616 -2124.1 10 10
0.00054008 9.71956 -10 94035.7 1 170.846 10.7409 1 10.4669 8.43692 10 10
0.00055264 9.64069 -10 90995.1 1 164.845 10.538 1 10.3874 8.07481 10 10
0.0005652 9.4015 -10 86789.1 1 -1877.3 10.18 1 10.1472 -1954.26 10 10
0.00057776 9.03152 -10 86552.3 1 158.105 9.698 1 9.77569 8.56064 10 10
0.00059032 8.53218 -10 83753.7 1 152.581 9.09482 1 9.27442 8.22734 10 10
