t 1 2 3 jxH0100
0 -1e-09 -5 -5 -1e-09
0.001 -1e-09 -4.98 -4.98 -1e-09
0.002 -1e-09 -4.96 -4.96 -1e-09
0.003 -1e-09 -4.94 -4.94 -1e-09
0.004 -1e-09 -4.92 -4.92 -1e-09
0.005 -1e-09 -4.9 -4.9 -1e-09
0.006 -1e-09 -4.88 -4.88 -1e-09
0.007 -1e-09 -4.86 -4.86 -1e-09
0.008 -1e-09 -4.84 -4.84 -1e-09
0.009 -1e-09 -4.82 -4.82 -1e-09
0.01 -1e-09 -4.8 -4.8 -1e-09
0.011 -1e-09 -4.78 -4.78 -1e-09
0.012 -1e-09 -4.76 -4.76 -1e-09
0.013 -1e-09 -4.74 -4.74 -1e-09
0.014 -1e-09 -4.72 -4.72 -1e-09
0.015 -1e-09 -4.7 -4.7 -1e-09
0.016 -1e-09 -4.68 -4.68 -1e-09
0.017 -1e-09 -4.66 -4.66 -1e-09
0.018 -1e-09 -4.64 -4.64 -1e-09
0.019 -1e-09 -4.62 -4.62 -1e-09
0.02 -1e-09 -4.6 -4.6 -1e-09
0.021 -1e-09 -4.58 -4.58 -1e-09
0.022 -1e-09 -4.56 -4.56 -1e-09
0.023 -1e-09 -4.54 -4.54 -1e-09
0.024 -1e-09 -4.52 -4.52 -1e-09
0.025 -1e-09 -4.5 -4.5 -1e-09
0.026 -1e-09 -4.48 -4.48 -1e-09
0.027 -1e-09 -4.46 -4.46 -1e-09
0.028 -1e-09 -4.44 -4.44 -1e-09
0.029 -1e-09 -4.42 -4.42 -1e-09
0.03 -1e-09 -4.4 -4.4 -1e-09
0.031 -1e-09 -4.38 -4.38 -1e-09
0.032 -1e-09 -4.36 -4.36 -1e-09
0.033 -1e-09 -4.34 -4.34 -1e-09
0.034 -1e-09 -4.32 -4.32 -1e-09
0.035 -1e-09 -4.3 -4.3 -1e-09
0.036 -1e-09 -4.28 -4.28 -1e-09
0.037 -1e-09 -4.26 -4.26 -1e-09
0.038 -1e-09 -4.24 -4.24 -1e-09
0.039 -1e-09 -4.22 -4.22 -1e-09
0.04 -1e-09 -4.2 -4.2 -1e-09
0.041 -1e-09 -4.18 -4.18 -1e-09
0.042 -1e-09 -4.16 -4.16 -1e-09
0.043 -1e-09 -4.14 -4.14 -1e-09
0.044 -1e-09 -4.12 -4.12 -1e-09
0.045 -1e-09 -4.1 -4.1 -1e-09
0.046 -1e-09 -4.08 -4.08 -1e-09
0.047 -1e-09 -4.06 -4.06 -1e-09
0.048 -1e-09 -4.04 -4.04 -1e-09
0.049 -1e-09 -4.02 -4.02 -1e-09
0.05 -1e-09 -4 -4 -1e-09
0.051 -1e-09 -3.98 -3.98 -1e-09
0.052 -1e-09 -3.96 -3.96 -1e-09
0.053 -1e-09 -3.94 -3.94 -1e-09
0.054 -1e-09 -3.92 -3.92 -1e-09
0.055 -1e-09 -3.9 -3.9 -1e-09
0.056 -1e-09 -3.88 -3.88 -1e-09
0.057 -1e-09 -3.86 -3.86 -1e-09
0.058 -1e-09 -3.84 -3.84 -1e-09
0.059 -1e-09 -3.82 -3.82 -1e-09
0.06 -1e-09 -3.8 -3.8 -1e-09
0.061 -1e-09 -3.78 -3.78 -1e-09
0.062 -1e-09 -3.76 -3.76 -1e-09
0.063 -1e-09 -3.74 -3.74 -1e-09
0.064 -1e-09 -3.72 -3.72 -1e-09
0.065 -1e-09 -3.7 -3.7 -1e-09
0.066 -1e-09 -3.68 -3.68 -1e-09
0.067 -1e-09 -3.66 -3.66 -1e-09
0.068 -1e-09 -3.64 -3.64 -1e-09
0.069 -1e-09 -3.62 -3.62 -1e-09
0.07 -1e-09 -3.6 -3.6 -1e-09
0.071 -1e-09 -3.58 -3.58 -1e-09
0.072 -1e-09 -3.56 -3.56 -1e-09
0.073 -1e-09 -3.54 -3.54 -1e-09
0.074 -1e-09 -3.52 -3.52 -1e-09
0.075 -1e-09 -3.5 -3.5 -1e-09
0.076 -1e-09 -3.48 -3.48 -1e-09
0.077 -1e-09 -3.46 -3.46 -1e-09
0.078 -1e-09 -3.44 -3.44 -1e-09
0.079 -1e-09 -3.42 -3.42 -1e-09
0.08 -1e-09 -3.4 -3.4 -1e-09
0.081 -1e-09 -3.38 -3.38 -1e-09
0.082 -1e-09 -3.36 -3.36 -1e-09
0.083 -1e-09 -3.34 -3.34 -1e-09
0.084 -1e-09 -3.32 -3.32 -1e-09
0.085 -1e-09 -3.3 -3.3 -1e-09
0.086 -1e-09 -3.28 -3.28 -1e-09
0.087 -1e-09 -3.26 -3.26 -1e-09
