t 1 2 3 4 jK0100 jL0203 jL1
0 0 0 0 0 0 0 0
1e-08 9997.42 1.86293 7211.25 10000 -0.232866 -0.232866 4.99871
2e-08 9987.09 9.31078 7203.8 10000 -0.698116 -0.698116 14.991
3e-08 9966.44 24.1911 7188.9 10000 -1.16192 -1.16192 24.9677
4e-08 9935.49 46.4731 7166.58 10000 -1.62333 -1.62333 34.9187
5e-08 9894.28 76.1107 7136.85 10000 -2.08137 -2.08137 44.8336
6e-08 9842.84 113.043 7099.76 10000 -2.53511 -2.53511 54.7021
7e-08 9781.24 157.192 7055.32 10000 -2.9836 -2.9836 64.5142
8e-08 9709.55 208.468 7003.61 10000 -3.42589 -3.42589 74.2596
9e-08 9627.82 266.764 6944.66 10000 -3.86108 -3.86108 83.9282
1e-07 9536.17 331.959 6878.55 10000 -4.28823 -4.28823 93.5102
1.1e-07 9434.67 403.916 6805.33 10000 -4.70646 -4.70646 102.996
1.2e-07 9323.44 482.487 6725.11 10000 -5.11487 -5.11487 112.375
1.3e-07 9202.6 567.506 6637.94 10000 -5.51258 -5.51258 121.638
1.4e-07 9072.28 658.797 6543.94 10000 -5.89875 -5.89875 130.775
1.5e-07 8932.61 756.167 6443.2 10000 -6.27254 -6.27254 139.778
1.6e-07 8783.75 859.412 6335.82 10000 -6.63312 -6.63312 148.636
1.7e-07 8625.86 968.315 6221.93 10000 -6.9797 -6.9797 157.341
1.8e-07 8459.09 1082.64 6101.64 10000 -7.31151 -7.31151 165.883
1.9e-07 8283.63 1202.16 5975.08 10000 -7.62779 -7.62779 174.254
2e-07 8099.67 1326.6 5842.39 10000 -7.92782 -7.92782 182.446
2.1e-07 7907.4 1455.71 5703.7 10000 -8.21089 -8.21089 190.45
2.2e-07 7707.03 1589.21 5559.17 10000 -8.47634 -8.47634 198.257
2.3e-07 7498.77 1726.81 5408.95 10000 -8.7235 -8.7235 205.86
2.4e-07 7282.84 1868.21 5253.2 10000 -8.95177 -8.95177 213.251
2.5e-07 7059.47 2013.11 5092.08 10000 -9.16056 -9.16056 220.422
2.6e-07 6828.9 2161.19 4925.77 10000 -9.34931 -9.34931 227.366
2.7e-07 6591.38 2312.12 4754.44 10000 -9.51749 -9.51749 234.076
2.8e-07 6347.15 2465.58 4578.27 10000 -9.66462 -9.66462 240.545
2.9e-07 6096.48 2621.22 4397.46 10000 -9.79024 -9.79024 246.767
3e-07 5839.63 2778.69 4212.19 10000 -9.89391 -9.89391 252.735
3.1e-07 5576.87 2937.65 4022.66 10000 -9.97526 -9.97526 258.443
3.2e-07 5308.49 3097.72 3829.07 10000 -10.0339 -10.0339 263.886
3.3e-07 5034.77 3258.55 3631.63 10000 -10.0696 -10.0696 269.058
3.4e-07 4755.99 3419.76 3430.55 10000 -10.082 -10.082 273.953
